year,region,max_ball_100
2019,Вінницька область,200.0
2021,Закарпатська область,200.0
2019,Черкаська область,200.0
2021,Черкаська область,200.0
2021,Харківська область,200.0
2021,Рівненська область,200.0
2019,Одеська область,200.0
2019,Рівненська область,199.0
2021,Кіровоградська область,200.0
2019,Івано-Франківська область,200.0
2021,Запорізька область,200.0
2021,Миколаївська область,199.0
2021,Дніпропетровська область,200.0
2021,Тернопільська область,200.0
2019,м.Київ,200.0
2019,Херсонська область,200.0
2021,Полтавська область,200.0
2021,Вінницька область,200.0
2021,м.Київ,200.0
2021,Сумська область,200.0
2021,Чернівецька область,200.0
2021,Донецька область,200.0
2021,Житомирська область,200.0
2019,Житомирська область,199.0
2019,Сумська область,200.0
2019,Закарпатська область,199.0
2021,Івано-Франківська область,200.0
2019,Дніпропетровська область,200.0
2021,Херсонська область,200.0
2019,Миколаївська область,200.0
2019,Запорізька область,200.0
2019,Полтавська область,200.0
2019,Чернігівська область,200.0
2019,Кіровоградська область,199.0
2021,Чернігівська область,198.0
2019,Львівська область,200.0
2019,Луганська область,200.0
2019,Хмельницька область,200.0
2019,Донецька область,199.0
2019,Тернопільська область,200.0
2021,Хмельницька область,200.0
2021,Луганська область,198.0
2019,Харківська область,200.0
2021,Львівська область,200.0
2019,Чернівецька область,200.0
2021,Одеська область,200.0
2019,Волинська область,200.0
2019,Київська область,200.0
2021,Київська область,200.0
2021,Волинська область,200.0
